t,ax,ay,az,gx,gy,gz
2.438399076461792,8323,19415,-285,-27231,24747,4509
2.4503324031829834,11687,16509,-228,-32768,20465,-5166
2.462239980697632,14516,16115,-598,-32768,22188,-7590
2.474174976348877,12544,15523,-1410,-32726,26907,-11443
2.4861087799072266,7930,15209,-1570,-32767,28211,-12923
2.4980714321136475,11890,16337,-1736,-32768,23864,-9868
2.5100796222686768,18202,17992,-1988,-32767,26753,-5611
2.521987199783325,12615,9469,-3493,-32768,32767,-5078
2.5339248180389404,4206,6823,-303,-32768,32645,365
2.545844078063965,405,13649,4535,-31574,32767,11309
2.5577805042266846,-162,14048,2932,-31785,32767,19008
2.5697154998779297,2117,6919,3487,-32768,32766,17020
2.581618547439575,4498,5003,556,-31285,32767,18379
2.593550205230713,7707,1474,2267,-30479,32767,13628
2.6054627895355225,9425,4835,4173,-26118,32767,18990
2.6174352169036865,1794,6892,4850,-25009,32767,20967
2.6293723583221436,-6622,2169,7863,-26532,32767,14683
2.6412768363952637,-11390,4736,5331,-11752,32767,7665
2.6532142162323,-2662,8535,3323,-12765,32767,4427
2.6652019023895264,-8659,1337,6273,-17206,32767,-3260
2.677175521850586,-21301,-1483,4052,-18081,32767,-3531
2.6890921592712402,-19225,-5841,4941,-19813,32767,-6483
2.7010581493377686,-23449,-10266,2305,-18767,32767,-16017
2.713013172149658,1845,-15600,16863,-3728,13669,-9440
2.7249786853790283,-2406,-3374,10065,4512,27630,3183
2.7369635105133057,-22113,-509,7830,4538,32767,3508
2.74894642829895,-16497,-2231,12198,965,22534,7363
2.760863780975342,-9497,-9972,1391,3821,23396,1143
2.7728002071380615,-19936,1681,6473,16338,21798,16540
2.7847394943237305,-12129,-176,7320,14815,14490,17481
2.7966601848602295,-14754,-624,5755,16218,18114,19457
2.808598041534424,-22713,165,5710,18540,16430,25226
2.8205480575561523,-20837,-366,6023,21153,5594,29467
2.83254075050354,-16644,-470,4962,29616,-8142,32767
2.8445160388946533,-11811,3386,3836,32767,-13370,32713
2.856456756591797,-12075,5986,3496,32767,-16823,32761
